pp_boiler,distance,year,automobile,bus,truck,motorcycle,all_mv,num_pp_50_mi,num_pp_100_mi,num_pp_150_mi,fuel_Fossil_fuel,fuel_Gas,fuel_Hydro,fuel_Nuclear,fuel_Oil,fuel_Sun,fuel_Wind,dir_NW,dir_SE,dir_SW,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,state_California,state_Colorado,state_Nevada,state_New Mexico,state_Utah,fuel,state,lat,long
2.0,134.28678602111205,2016,1047362,3128.0,1273607,74562.0,2398659.0,23,46,99,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gas,Nevada,35.78888900000001,-114.994167
2.0,102.51274382892332,2016,1047362,3128.0,1273607,74562.0,2398659.0,23,46,99,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gas,Nevada,36.430554,-114.902405
0.0,113.06731472931016,2016,1047362,3128.0,1273607,74562.0,2398659.0,23,46,99,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Hydro,Nevada,36.01551,-114.738006
0.0,133.85631126879863,2016,1047362,3128.0,1273607,74562.0,2398659.0,23,46,99,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,36.068926,-115.280825
3.0,120.18243266400276,2016,1047362,3128.0,1273607,74562.0,2398659.0,23,46,99,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gas,Nevada,36.2319,-115.1222
0.0,120.11611409623416,2016,1047362,3128.0,1273607,74562.0,2398659.0,23,46,99,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,36.134444,-115.035278
0.0,106.89584312253344,2016,1047362,3128.0,1273607,74562.0,2398659.0,23,46,99,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,36.390556,-114.964444
0.0,115.94524544077963,2016,1047362,3128.0,1273607,74562.0,2398659.0,23,46,99,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,36.260278,-115.0544
0.0,117.72725957983009,2016,1047362,3128.0,1273607,74562.0,2398659.0,23,46,99,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,36.206672,-115.047703
1.0,106.56612349109079,2016,1047362,3128.0,1273607,74562.0,2398659.0,23,46,99,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gas,Nevada,36.343229,-114.920686
1.0,109.34052959864556,2016,1047362,3128.0,1273607,74562.0,2398659.0,23,46,99,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gas,Nevada,36.2253,-114.8783
1.0,133.26046671812944,2016,1047362,3128.0,1273607,74562.0,2398659.0,23,46,99,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gas,Nevada,35.799798,-114.98173
0.0,128.33043057071544,2016,1047362,3128.0,1273607,74562.0,2398659.0,23,46,99,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,36.087426,-115.175381
0.0,128.38982274867755,2016,1047362,3128.0,1273607,74562.0,2398659.0,23,46,99,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,36.088611,-115.177778
0.0,103.58173504642187,2016,1047362,3128.0,1273607,74562.0,2398659.0,23,46,99,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sun,Nevada,36.408,-114.908
